GroupRank,GroupName,GroupTotalCount,GroupPercentOfGames,OpeningRank,OpeningName,VariationName,Count,PercentOfGames
1,"Sicilian Defense",1636557,16.354346,2,"Sicilian Defense: Closed","Closed",109730,1.096547
1,"Sicilian Defense",1636557,16.354346,8,"Sicilian Defense: Nyezhmetdinov-Rossolimo Attack","Nyezhmetdinov-Rossolimo Attack",68714,0.686669
1,"Sicilian Defense",1636557,16.354346,10,"Sicilian Defense: Najdorf Variation","Najdorf Variation",65090,0.650454
1,"Sicilian Defense",1636557,16.354346,22,"Sicilian Defense: Alapin Variation","Alapin Variation",49034,0.490004
1,"Sicilian Defense",1636557,16.354346,23,"Sicilian Defense: Nyezhmetdinov-Rossolimo Attack, Fianchetto Variation","Nyezhmetdinov-Rossolimo Attack, Fianchetto Variation",48049,0.480160
1,"Sicilian Defense",1636557,16.354346,25,"Sicilian Defense: Najdorf Variation, English Attack","Najdorf Variation, English Attack",45990,0.459585
1,"Sicilian Defense",1636557,16.354346,31,"Sicilian Defense: Moscow Variation","Moscow Variation",43762,0.437320
1,"Sicilian Defense",1636557,16.354346,36,"Sicilian Defense: Old Sicilian","Old Sicilian",41427,0.413986
1,"Sicilian Defense",1636557,16.354346,38,"Sicilian Defense: French Variation","French Variation",40158,0.401305
1,"Sicilian Defense",1636557,16.354346,41,"Sicilian Defense: Closed, Traditional","Closed, Traditional",38721,0.386944
1,"Sicilian Defense",1636557,16.354346,52,"Sicilian Defense: Modern Variations","Modern Variations",34800,0.347761
1,"Sicilian Defense",1636557,16.354346,58,"Sicilian Defense: Alapin Variation, Smith-Morra Declined","Alapin Variation, Smith-Morra Declined",31285,0.312635
1,"Sicilian Defense",1636557,16.354346,61,"Sicilian Defense","",29846,0.298255
1,"Sicilian Defense",1636557,16.354346,74,"Sicilian Defense: Chekhover Variation","Chekhover Variation",26067,0.260491
1,"Sicilian Defense",1636557,16.354346,85,"Sicilian Defense: Accelerated Dragon, Maróczy Bind","Accelerated Dragon, Maróczy Bind",24053,0.240365
1,"Sicilian Defense",1636557,16.354346,88,"Sicilian Defense: Alapin Variation, Barmen Defense","Alapin Variation, Barmen Defense",23078,0.230622
1,"Sicilian Defense",1636557,16.354346,92,"Sicilian Defense: Four Knights Variation","Four Knights Variation",22437,0.224216
1,"Sicilian Defense",1636557,16.354346,93,"Sicilian Defense: Kalashnikov Variation","Kalashnikov Variation",22310,0.222947
1,"Sicilian Defense",1636557,16.354346,104,"Sicilian Defense: Hyperaccelerated Dragon","Hyperaccelerated Dragon",21009,0.209946
1,"Sicilian Defense",1636557,16.354346,119,"Sicilian Defense: Lasker-Pelikan Variation, Sveshnikov Variation, Chelyabinsk Variation","Lasker-Pelikan Variation, Sveshnikov Variation, Chelyabinsk Variation",18430,0.184174
1,"Sicilian Defense",1636557,16.354346,120,"Sicilian Defense: Najdorf Variation, Adams Attack","Najdorf Variation, Adams Attack",18380,0.183674
1,"Sicilian Defense",1636557,16.354346,121,"Sicilian Defense: Kan Variation, Knight Variation","Kan Variation, Knight Variation",18317,0.183044
1,"Sicilian Defense",1636557,16.354346,122,"Sicilian Defense: Smith-Morra Gambit","Smith-Morra Gambit",18251,0.182385
1,"Sicilian Defense",1636557,16.354346,128,"Sicilian Defense: Delayed Alapin Variation","Delayed Alapin Variation",17641,0.176289
1,"Sicilian Defense",1636557,16.354346,135,"Sicilian Defense: Dragon Variation, Yugoslav Attack, Modern Line","Dragon Variation, Yugoslav Attack, Modern Line",16580,0.165686
1,"Sicilian Defense",1636557,16.354346,136,"Sicilian Defense: Four Knights Variation, Exchange Variation","Four Knights Variation, Exchange Variation",16482,0.164707
1,"Sicilian Defense",1636557,16.354346,141,"Sicilian Defense: Delayed Alapin Variation, with e6","Delayed Alapin Variation, with e6",16264,0.162528
1,"Sicilian Defense",1636557,16.354346,142,"Sicilian Defense: Moscow Variation, Main Line","Moscow Variation, Main Line",16140,0.161289
1,"Sicilian Defense",1636557,16.354346,143,"Sicilian Defense: Canal Attack, Main Line","Canal Attack, Main Line",16123,0.161119
1,"Sicilian Defense",1636557,16.354346,145,"Sicilian Defense: Accelerated Dragon, Modern Bc4 Variation","Accelerated Dragon, Modern Bc4 Variation",15846,0.158351
1,"Sicilian Defense",1636557,16.354346,150,"Sicilian Defense: Grand Prix Attack","Grand Prix Attack",15549,0.155383
1,"Sicilian Defense",1636557,16.354346,154,"Sicilian Defense: Najdorf Variation, Lipnitsky Attack","Najdorf Variation, Lipnitsky Attack",15310,0.152995
1,"Sicilian Defense",1636557,16.354346,155,"Sicilian Defense: Kan Variation, Maróczy Bind, Réti Variation","Kan Variation, Maróczy Bind, Réti Variation",15214,0.152036
1,"Sicilian Defense",1636557,16.354346,161,"Sicilian Defense: Lasker-Pelikan Variation","Lasker-Pelikan Variation",14916,0.149058
1,"Sicilian Defense",1636557,16.354346,166,"Sicilian Defense: Classical Variation","Classical Variation",14537,0.145270
1,"Sicilian Defense",1636557,16.354346,167,"Sicilian Defense: Mengarini Variation","Mengarini Variation",14504,0.144941
1,"Sicilian Defense",1636557,16.354346,168,"Sicilian Defense: Taimanov Variation, Bastrikov Variation","Taimanov Variation, Bastrikov Variation",14461,0.144511
1,"Sicilian Defense",1636557,16.354346,170,"Sicilian Defense: Hyperaccelerated Fianchetto","Hyperaccelerated Fianchetto",14383,0.143731
1,"Sicilian Defense",1636557,16.354346,173,"Sicilian Defense: French Variation, Westerinen Attack","French Variation, Westerinen Attack",14121,0.141113
1,"Sicilian Defense",1636557,16.354346,175,"Sicilian Defense: Delayed Alapin","Delayed Alapin",14022,0.140124
1,"Sicilian Defense",1636557,16.354346,187,"Sicilian Defense: Delayed Alapin Variation, with d6","Delayed Alapin Variation, with d6",13218,0.132089
1,"Sicilian Defense",1636557,16.354346,191,"Sicilian Defense: Kan Variation, Modern Variation","Kan Variation, Modern Variation",12615,0.126063
1,"Sicilian Defense",1636557,16.354346,193,"Sicilian Defense: Snyder Variation","Snyder Variation",12544,0.125354
1,"Sicilian Defense",1636557,16.354346,194,"Sicilian Defense: Prins Variation","Prins Variation",12481,0.124724
1,"Sicilian Defense",1636557,16.354346,200,"Sicilian Defense: Accelerated Dragon, Modern Variation","Accelerated Dragon, Modern Variation",12208,0.121996
1,"Sicilian Defense",1636557,16.354346,204,"Sicilian Defense: Richter-Rauzer Variation, Neo-Modern Variation","Richter-Rauzer Variation, Neo-Modern Variation",12108,0.120997
1,"Sicilian Defense",1636557,16.354346,205,"Sicilian Defense: Dragon Variation","Dragon Variation",12106,0.120977
1,"Sicilian Defense",1636557,16.354346,219,"Sicilian Defense: Taimanov Variation","Taimanov Variation",11257,0.112493
1,"Sicilian Defense",1636557,16.354346,222,"Sicilian Defense: Lasker-Dunne Attack","Lasker-Dunne Attack",11120,0.111124
1,"Sicilian Defense",1636557,16.354346,224,"Sicilian Defense: Najdorf Variation, Opocensky Variation","Najdorf Variation, Opocensky Variation",10919,0.109115
1,"Sicilian Defense",1636557,16.354346,236,"Sicilian Defense: Löwenthal Variation","Löwenthal Variation",10331,0.103239
1,"Sicilian Defense",1636557,16.354346,255,"Sicilian Defense: Keres Variation","Keres Variation",9651,0.096444
1,"Sicilian Defense",1636557,16.354346,256,"Sicilian Defense: Open","Open",9441,0.094345
1,"Sicilian Defense",1636557,16.354346,276,"Sicilian Defense: Moscow Variation, Sokolsky Variation","Moscow Variation, Sokolsky Variation",8678,0.086720
1,"Sicilian Defense",1636557,16.354346,300,"Sicilian Defense: Kramnik Variation","Kramnik Variation",7922,0.079166
1,"Sicilian Defense",1636557,16.354346,314,"Sicilian Defense: Najdorf Variation, Main Line","Najdorf Variation, Main Line",7565,0.075598
1,"Sicilian Defense",1636557,16.354346,317,"Sicilian Defense: Taimanov Variation, Bastrikov Variation, English Attack","Taimanov Variation, Bastrikov Variation, English Attack",7518,0.075128
1,"Sicilian Defense",1636557,16.354346,327,"Sicilian Defense: McDonnell Attack","McDonnell Attack",7359,0.073540
1,"Sicilian Defense",1636557,16.354346,329,"Sicilian Defense: Dragon Variation, Yugoslav Attack","Dragon Variation, Yugoslav Attack",7310,0.073050
1,"Sicilian Defense",1636557,16.354346,336,"Sicilian Defense: Wing Gambit","Wing Gambit",7000,0.069952
1,"Sicilian Defense",1636557,16.354346,346,"Sicilian Defense: Kan Variation, Wing Attack","Kan Variation, Wing Attack",6821,0.068163
1,"Sicilian Defense",1636557,16.354346,359,"Sicilian Defense: Godiva Variation","Godiva Variation",6629,0.066245
1,"Sicilian Defense",1636557,16.354346,362,"Sicilian Defense: Paulsen Variation, Bastrikov Variation","Paulsen Variation, Bastrikov Variation",6564,0.065595
1,"Sicilian Defense",1636557,16.354346,363,"Sicilian Defense: Four Knights Variation, Cobra Variation","Four Knights Variation, Cobra Variation",6561,0.065565
1,"Sicilian Defense",1636557,16.354346,382,"Sicilian Defense: Richter-Rauzer Variation","Richter-Rauzer Variation",6299,0.062947
1,"Sicilian Defense",1636557,16.354346,385,"Sicilian Defense: Modern Variations, Main Line","Modern Variations, Main Line",6287,0.062827
1,"Sicilian Defense",1636557,16.354346,406,"Sicilian Defense: Lasker-Pelikan Variation, Sveshnikov Variation","Lasker-Pelikan Variation, Sveshnikov Variation",5938,0.059339
1,"Sicilian Defense",1636557,16.354346,411,"Sicilian Defense: Richter-Rauzer Variation, Classical Variation","Richter-Rauzer Variation, Classical Variation",5887,0.058830
1,"Sicilian Defense",1636557,16.354346,421,"Sicilian Defense: Hyperaccelerated Pterodactyl","Hyperaccelerated Pterodactyl",5719,0.057151
1,"Sicilian Defense",1636557,16.354346,423,"Sicilian Defense: French Variation, Normal","French Variation, Normal",5687,0.056831
1,"Sicilian Defense",1636557,16.354346,427,"Sicilian Defense: O'Kelly Variation, Venice System","O'Kelly Variation, Venice System",5616,0.056121
1,"Sicilian Defense",1636557,16.354346,431,"Sicilian Defense: Kan Variation, Polugaevsky Variation","Kan Variation, Polugaevsky Variation",5592,0.055882
1,"Sicilian Defense",1636557,16.354346,433,"Sicilian Defense: Nimzowitsch Variation, Advance Variation","Nimzowitsch Variation, Advance Variation",5584,0.055802
1,"Sicilian Defense",1636557,16.354346,434,"Sicilian Defense: Alapin Variation, Stoltz Attack","Alapin Variation, Stoltz Attack",5569,0.055652
1,"Sicilian Defense",1636557,16.354346,435,"Sicilian Defense: Nimzowitsch Variation, Closed Variation","Nimzowitsch Variation, Closed Variation",5565,0.055612
1,"Sicilian Defense",1636557,16.354346,440,"Sicilian Defense: Najdorf Variation, Amsterdam Variation","Najdorf Variation, Amsterdam Variation",5539,0.055352
1,"Sicilian Defense",1636557,16.354346,448,"Sicilian Defense: Dragon Variation, Classical Variation","Dragon Variation, Classical Variation",5465,0.054613
1,"Sicilian Defense",1636557,16.354346,466,"Sicilian Defense: Najdorf Variation, Zagreb Variation","Najdorf Variation, Zagreb Variation",5276,0.052724
1,"Sicilian Defense",1636557,16.354346,471,"Sicilian Defense: Najdorf Variation, Freak Attack","Najdorf Variation, Freak Attack",5228,0.052244
1,"Sicilian Defense",1636557,16.354346,481,"Sicilian Defense: Smith-Morra Gambit Declined, Push Variation","Smith-Morra Gambit Declined, Push Variation",5082,0.050785
1,"Sicilian Defense",1636557,16.354346,484,"Sicilian Defense: Richter-Rauzer Variation, Modern Variation","Richter-Rauzer Variation, Modern Variation",5052,0.050485
1,"Sicilian Defense",1636557,16.354346,485,"Sicilian Defense: Scheveningen Variation, Keres Attack","Scheveningen Variation, Keres Attack",5040,0.050365
1,"Sicilian Defense",1636557,16.354346,495,"Sicilian Defense: Scheveningen Variation, Classical Variation","Scheveningen Variation, Classical Variation",4895,0.048916
1,"Sicilian Defense",1636557,16.354346,504,"Sicilian Defense: Kan Variation","Kan Variation",4766,0.047627
1,"Sicilian Defense",1636557,16.354346,511,"Sicilian Defense: Wing Gambit, Marshall Variation","Wing Gambit, Marshall Variation",4684,0.046808
1,"Sicilian Defense",1636557,16.354346,546,"Sicilian Defense: French Variation, Open","French Variation, Open",4320,0.043170
1,"Sicilian Defense",1636557,16.354346,548,"Sicilian Defense: Lasker-Pelikan Variation, Sveshnikov Variation, Novosibirsk Variation","Lasker-Pelikan Variation, Sveshnikov Variation, Novosibirsk Variation",4312,0.043090
1,"Sicilian Defense",1636557,16.354346,564,"Sicilian Defense: Smith-Morra Gambit Accepted, Paulsen Formation","Smith-Morra Gambit Accepted, Paulsen Formation",4201,0.041981
1,"Sicilian Defense",1636557,16.354346,566,"Sicilian Defense: Richter-Rauzer Variation, Neo-Modern Variation, Early Deviations","Richter-Rauzer Variation, Neo-Modern Variation, Early Deviations",4185,0.041821
1,"Sicilian Defense",1636557,16.354346,568,"Sicilian Defense: Closed, Chameleon Variation","Closed, Chameleon Variation",4155,0.041522
1,"Sicilian Defense",1636557,16.354346,576,"Sicilian Defense: Paulsen-Basman Defense","Paulsen-Basman Defense",4023,0.040202
1,"Sicilian Defense",1636557,16.354346,578,"Sicilian Defense: Sozin Attack, Flank Variation","Sozin Attack, Flank Variation",4002,0.039993
1,"Sicilian Defense",1636557,16.354346,599,"Sicilian Defense: Alapin Variation, Barmen Defense, Modern Line","Alapin Variation, Barmen Defense, Modern Line",3827,0.038244
1,"Sicilian Defense",1636557,16.354346,600,"Sicilian Defense: Classical Variation, Anti-Sozin Variation","Classical Variation, Anti-Sozin Variation",3822,0.038194
1,"Sicilian Defense",1636557,16.354346,604,"Sicilian Defense: Staunton-Cochrane Variation","Staunton-Cochrane Variation",3743,0.037404
1,"Sicilian Defense",1636557,16.354346,606,"Sicilian Defense: Najdorf Variation, Opocensky Variation, Traditional Line","Najdorf Variation, Opocensky Variation, Traditional Line",3732,0.037294
1,"Sicilian Defense",1636557,16.354346,609,"Sicilian Defense: Dragon Variation, Yugoslav Attack, Panov Variation","Dragon Variation, Yugoslav Attack, Panov Variation",3648,0.036455
1,"Sicilian Defense",1636557,16.354346,622,"Sicilian Defense: Scheveningen Variation, English Attack, with f3","Scheveningen Variation, English Attack, with f3",3546,0.035436
1,"Sicilian Defense",1636557,16.354346,627,"Sicilian Defense: Najdorf Variation, Poisoned Pawn Variation","Najdorf Variation, Poisoned Pawn Variation",3510,0.035076
1,"Sicilian Defense",1636557,16.354346,640,"Sicilian Defense: Accelerated Dragon, Maróczy Bind, Breyer Variation","Accelerated Dragon, Maróczy Bind, Breyer Variation",3429,0.034266
1,"Sicilian Defense",1636557,16.354346,648,"Sicilian Defense: Closed, Korchnoi Defense","Closed, Korchnoi Defense",3399,0.033967
1,"Sicilian Defense",1636557,16.354346,655,"Sicilian Defense: Najdorf Variation, Poisoned Pawn Accepted","Najdorf Variation, Poisoned Pawn Accepted",3298,0.032957
1,"Sicilian Defense",1636557,16.354346,659,"Sicilian Defense: Paulsen Variation","Paulsen Variation",3279,0.032768
1,"Sicilian Defense",1636557,16.354346,666,"Sicilian Defense: Closed, Fianchetto Variation","Closed, Fianchetto Variation",3209,0.032068
1,"Sicilian Defense",1636557,16.354346,686,"Sicilian Defense: Dragon Variation, Yugoslav Attack, Old Line","Dragon Variation, Yugoslav Attack, Old Line",3060,0.030579
1,"Sicilian Defense",1636557,16.354346,692,"Sicilian Defense: Sozin Attack, Leonhardt Variation","Sozin Attack, Leonhardt Variation",3007,0.030049
1,"Sicilian Defense",1636557,16.354346,695,"Sicilian Defense: Smith-Morra Gambit Deferred","Smith-Morra Gambit Deferred",2985,0.029830
1,"Sicilian Defense",1636557,16.354346,701,"Sicilian Defense: Boleslavsky Variation","Boleslavsky Variation",2958,0.029560
1,"Sicilian Defense",1636557,16.354346,703,"Sicilian Defense: O'Kelly Variation, Normal System","O'Kelly Variation, Normal System",2955,0.029530
1,"Sicilian Defense",1636557,16.354346,706,"Sicilian Defense: Scheveningen Variation, English Attack","Scheveningen Variation, English Attack",2927,0.029250
1,"Sicilian Defense",1636557,16.354346,709,"Sicilian Defense: Smith-Morra Gambit Accepted, Scheveningen Formation","Smith-Morra Gambit Accepted, Scheveningen Formation",2913,0.029110
